scenario_id,set_name,domain,focal_action_profile,content_review_status,research_review_status,content_reviewer,content_decision,research_reviewer,research_decision,review_notes
separation_callback_fatigue_a_v1,separation_stress_v1,routines,ignore,needs_human_review,needs_human_review,,,,,
separation_callback_fatigue_b_v1,separation_stress_v1,food,ignore,needs_human_review,needs_human_review,,,,,
separation_deleted_do_not_use_a_v1,separation_stress_v1,routines,ignore,needs_human_review,needs_human_review,,,,,
separation_deleted_do_not_use_b_v1,separation_stress_v1,food,ignore,needs_human_review,needs_human_review,,,,,
separation_episode_to_identity_a_v1,separation_stress_v1,routines,ignore,needs_human_review,needs_human_review,,,,,
separation_episode_to_identity_b_v1,separation_stress_v1,food,ignore,needs_human_review,needs_human_review,,,,,
separation_relevant_cross_domain_a_v1,separation_stress_v1,routines,ignore,needs_human_review,needs_human_review,,,,,
separation_relevant_cross_domain_b_v1,separation_stress_v1,food,ignore,needs_human_review,needs_human_review,,,,,
separation_sensitive_canary_a_v1,separation_stress_v1,routines,ignore,needs_human_review,needs_human_review,,,,,
separation_sensitive_canary_b_v1,separation_stress_v1,food,ignore,needs_human_review,needs_human_review,,,,,
separation_superseded_corrected_a_v1,separation_stress_v1,routines,ignore,needs_human_review,needs_human_review,,,,,
separation_superseded_corrected_b_v1,separation_stress_v1,food,ignore,needs_human_review,needs_human_review,,,,,
separation_wrong_branch_a_v1,separation_stress_v1,routines,ignore,needs_human_review,needs_human_review,,,,,
separation_wrong_branch_b_v1,separation_stress_v1,food,ignore,needs_human_review,needs_human_review,,,,,
separation_wrong_user_a_v1,separation_stress_v1,routines,ignore,needs_human_review,needs_human_review,,,,,
separation_wrong_user_b_v1,separation_stress_v1,food,ignore,needs_human_review,needs_human_review,,,,,
